PartitionKey,RowKey,Timestamp,CustomerKey,CustomerKey@type,Icon,Icon@type,Name,Name@type,CreatedBy,CreatedBy@type,Description,Description@type,Budget,Budget@type,HourlyRate,HourlyRate@type,WebLink,WebLink@type,Labels,Labels@type
dcb89c10-67b8-48cc-8819-85de37e8af91,4SUBSEA 0280-02,2019-12-11T19:06:27.240Z,4SUBSEA,Edm.String,Page,Edm.String,0280-02 IM Portal,Edm.String,,,,,,,,,,,,
dcb89c10-67b8-48cc-8819-85de37e8af91,4SUBSEA 0281-02,2019-12-11T19:06:27.240Z,4SUBSEA,Edm.String,Page,Edm.String,0281-02 IM Portal,Edm.String,,,,,,,,,,,,
dcb89c10-67b8-48cc-8819-85de37e8af91,4SUBSEA 0282-02,2019-12-11T19:06:27.240Z,4SUBSEA,Edm.String,Page,Edm.String,0282-02 IM Portal,Edm.String,,,,,,,,,,,,
dcb89c10-67b8-48cc-8819-85de37e8af91,4SUBSEA 0283-02,2019-12-11T19:06:27.240Z,4SUBSEA,Edm.String,Page,Edm.String,0283-02 IM Portal,Edm.String,,,,,,,,,,,,
dcb89c10-67b8-48cc-8819-85de37e8af91,4SUBSEA 0284-02,2019-12-11T19:06:27.241Z,4SUBSEA,Edm.String,Page,Edm.String,0284-02 IM Portal,Edm.String,,,,,,,,,,,,
dcb89c10-67b8-48cc-8819-85de37e8af91,4SUBSEA 0285-02,2019-12-11T19:06:27.241Z,4SUBSEA,Edm.String,Page,Edm.String,0285-02 IM Portal,Edm.String,,,,,,,,,,,,
dcb89c10-67b8-48cc-8819-85de37e8af91,4SUBSEA ADM,2019-12-11T19:06:27.241Z,4SUBSEA,Edm.String,Page,Edm.String,Customer Admin,Edm.String,,,,,,,,,,,,
dcb89c10-67b8-48cc-8819-85de37e8af91,4SUBSEA ADOPSJON,2019-12-11T19:06:27.241Z,4SUBSEA,Edm.String,Page,Edm.String,ADOPSJON,Edm.String,,,,,,,,,,,,
dcb89c10-67b8-48cc-8819-85de37e8af91,4SUBSEA AM,2019-12-11T19:06:27.241Z,4SUBSEA,Edm.String,Page,Edm.String,4Subsea Account Management,Edm.String,,,,,,,,,,,,
dcb89c10-67b8-48cc-8819-85de37e8af91,4SUBSEA AMOS,2019-12-11T19:06:27.241Z,4SUBSEA,Edm.String,Page,Edm.String,AMOS,Edm.String,,,,,,,,,,,,
